Feature,Coefficient,Abs_Coefficient
stock_price,-0.008119479900253301,0.008119479900253301
VNI,-0.004682097827772908,0.004682097827772908
leverage,0.002709137325937851,0.002709137325937851
roe,0.0022124140097789817,0.0022124140097789817
market_cap,-0.001874158153101865,0.001874158153101865
company_age,0.0016941270801903699,0.0016941270801903699
returns,-0.0016897445746616568,0.0016897445746616568
dividends_paid,0.0012682175305009464,0.0012682175305009464
selling_expenses,-0.0011961999624246341,0.0011961999624246341
short_term_receivables,-0.0011524216479511056,0.0011524216479511056
capex,0.0010968679780686006,0.0010968679780686006
roa,-0.0010568409000439889,0.0010568409000439889
sales,-0.001053942342670233,0.001053942342670233
admin_expenses,-0.0009977895201301514,0.0009977895201301514
inventory,-0.0009806397223468427,0.0009806397223468427
equity_issue,0.0008266106958506596,0.0008266106958506596
owners_equity,0.0007487095703275992,0.0007487095703275992
net_profit,0.0005515680023580869,0.0005515680023580869
volume_m,-0.0004951419472670618,0.0004951419472670618
depreciation,0.0004656184328230499,0.0004656184328230499
long_term_debt,-0.00042388997651276073,0.00042388997651276073
equity_repurchase,-0.00039603007161337475,0.00039603007161337475
gross_profit,-0.0003939169498315666,0.0003939169498315666
operating_profit,0.00037717981271041996,0.00037717981271041996
outstanding_shares,0.00029962526795673404,0.00029962526795673404
interest_expenses,0.00026961482985357794,0.00026961482985357794
total_liabilities,-0.0002565076293289348,0.0002565076293289348
short_term_debt,0.0002458492505540344,0.0002458492505540344
current_assets,-0.00020194344469436337,0.00020194344469436337
current_ratio,-0.0001948881138243543,0.0001948881138243543
operating_cash_flow,0.00019018193102795594,0.00019018193102795594
profit_after_tax_parent,-0.00013315789604430458,0.00013315789604430458
current_liabilities,0.00010149066486691454,0.00010149066486691454
cash,9.59903681626081e-05,9.59903681626081e-05
total_assets,9.116082938045035e-05,9.116082938045035e-05
quick_ratio,5.3578281645800304e-05,5.3578281645800304e-05
tangible_fixed_assets,4.378111063478232e-05,4.378111063478232e-05
