Layers,Activation,Val_MSE,Val_MAE,Val_R2,Val_R2_OOS,Val_Corr,Opt_Epoch,Split
"[64, 32, 16]",ReLU,0.027564821764826775,0.11221510171890259,-0.04556989669799805,-0.040451707817945826,0.07833502,30,Split_1
"[64, 32, 16]",LeakyReLU,0.02682446502149105,0.10955289006233215,-0.017487168312072754,-0.012506492833026517,0.08844947,24,Split_1
"[64, 32, 16]",Swish,0.026738012209534645,0.11028241366147995,-0.014207959175109863,-0.009243263639094224,0.06578736,27,Split_1
"[128, 64, 32]",ReLU,0.027781089767813683,0.11368419229984283,-0.05377328395843506,-0.048614900558632934,0.06193727,11,Split_1
"[128, 64, 32]",LeakyReLU,0.027018794789910316,0.11099271476268768,-0.02485835552215576,-0.01984155514194863,0.034548648,20,Split_1
"[128, 64, 32]",Swish,0.02723722532391548,0.1092384085059166,-0.03314375877380371,-0.028086346472097512,0.07344217,22,Split_1
"[32, 16, 8]",ReLU,0.026339758187532425,0.1083400771021843,0.0008983016014099121,0.005789053939561306,0.12273192,14,Split_1
"[32, 16, 8]",LeakyReLU,0.027224868535995483,0.1117231547832489,-0.03267502784729004,-0.027619932744785025,0.036352985,45,Split_1
"[32, 16, 8]",Swish,0.02905307710170746,0.11755046248435974,-0.10202133655548096,-0.09662685971424279,0.006902536,19,Split_1
"[64, 32, 16]",ReLU,0.02020544931292534,0.10489153116941452,-0.05570483207702637,-0.0007929948337819237,0.017725227,14,Split_2
"[64, 32, 16]",LeakyReLU,0.020608238875865936,0.1062067449092865,-0.07675004005432129,-0.02074355855041876,-0.03625212,19,Split_2
"[64, 32, 16]",Swish,0.020605048164725304,0.10600060224533081,-0.0765833854675293,-0.02058554097545029,-0.032137476,18,Split_2
"[128, 64, 32]",ReLU,0.02095123939216137,0.10650066286325455,-0.09467124938964844,-0.037732649659835804,-0.03175919,9,Split_2
"[128, 64, 32]",LeakyReLU,0.02126445062458515,0.10752478986978531,-0.11103606224060059,-0.053246227340771446,-0.009819258,10,Split_2
"[128, 64, 32]",Swish,0.02048838883638382,0.10472051799297333,-0.0704880952835083,-0.014807300124867195,-0.019228036,15,Split_2
"[32, 16, 8]",ReLU,0.020006252452731133,0.1035166084766388,-0.04529714584350586,0.009073323512050036,-0.0036632987,17,Split_2
"[32, 16, 8]",LeakyReLU,0.020128807052969933,0.10469172149896622,-0.051700472831726074,0.003003113700847826,0.026533207,46,Split_2
"[32, 16, 8]",Swish,0.01988007314503193,0.10317255556583405,-0.03870439529418945,0.015323159263948893,-0.00444725,18,Split_2
"[64, 32, 16]",ReLU,0.012383813038468361,0.08269410580396652,-0.041159987449645996,-0.033565545364424576,0.0015639755,21,Split_3
"[64, 32, 16]",LeakyReLU,0.012522833421826363,0.08265551924705505,-0.052848100662231445,-0.0451683549794204,0.004437532,22,Split_3
"[64, 32, 16]",Swish,0.01234719343483448,0.08250077068805695,-0.03808128833770752,-0.030509267720778555,0.044551156,26,Split_3
"[128, 64, 32]",ReLU,0.012831177562475204,0.08415314555168152,-0.07877182960510254,-0.07090299699913527,-0.026340574,6,Split_3
"[128, 64, 32]",LeakyReLU,0.012578246183693409,0.08315493911504745,-0.05750691890716553,-0.049793153055356365,0.029829234,13,Split_3
"[128, 64, 32]",Swish,0.01249336451292038,0.08284727483987808,-0.05037045478820801,-0.042708842228721844,-0.01511722,15,Split_3
"[32, 16, 8]",ReLU,0.012036660686135292,0.08095812797546387,-0.01197350025177002,-0.004591891339443155,0.08428659,15,Split_3
"[32, 16, 8]",LeakyReLU,0.01232063863426447,0.0822748988866806,-0.03584861755371094,-0.028292910262259996,0.002702627,20,Split_3
"[32, 16, 8]",Swish,0.012427549809217453,0.08268415182828903,-0.044837117195129395,-0.03721581788700945,0.0122678885,44,Split_3
"[64, 32, 16]",ReLU,0.0090554840862751,0.06719685345888138,-0.0420231819152832,-0.004874830480345871,0.06603009,16,Split_4
"[64, 32, 16]",LeakyReLU,0.008842064067721367,0.06567154079675674,-0.017464637756347656,0.018808181079035258,0.039989904,15,Split_4
"[64, 32, 16]",Swish,0.00885017216205597,0.06635492295026779,-0.01839768886566162,0.01790841447292968,0.0513519,12,Split_4
"[128, 64, 32]",ReLU,0.009435674175620079,0.06970343738794327,-0.08577191829681396,-0.0470639887065456,0.0130155785,17,Split_4
"[128, 64, 32]",LeakyReLU,0.00892928522080183,0.06692565977573395,-0.027501344680786133,0.009129276248489804,0.0690284,15,Split_4
"[128, 64, 32]",Swish,0.00898460578173399,0.0663464292883873,-0.03386712074279785,0.0029904536516658364,0.0036302223,10,Split_4
"[32, 16, 8]",ReLU,0.008918960578739643,0.06652521342039108,-0.026313185691833496,0.010275058469401244,0.0901377,12,Split_4
"[32, 16, 8]",LeakyReLU,0.009040148928761482,0.0667838603258133,-0.04025852680206299,-0.0031731079455297184,0.009271869,14,Split_4
"[32, 16, 8]",Swish,0.00901786983013153,0.06731146574020386,-0.03769481182098389,-0.0007008113621038703,0.033421658,9,Split_4
